Fra;Til;KWH 60 Forbruk
06.09.2019 02:00;06.09.2019 03:00;0,248
06.09.2019 03:00;06.09.2019 04:00;0,472
06.09.2019 04:00;06.09.2019 05:00;0,381
06.09.2019 05:00;06.09.2019 06:00;0,188
06.09.2019 06:00;06.09.2019 07:00;0,956
06.09.2019 07:00;06.09.2019 08:00;1,467
06.09.2019 08:00;06.09.2019 09:00;0,198
06.09.2019 09:00;06.09.2019 10:00;0,441
06.09.2019 10:00;06.09.2019 11:00;0,451
06.09.2019 11:00;06.09.2019 12:00;0,372
06.09.2019 12:00;06.09.2019 13:00;0,325
06.09.2019 13:00;06.09.2019 14:00;0,46
06.09.2019 14:00;06.09.2019 15:00;0,48
06.09.2019 15:00;06.09.2019 16:00;0,764
06.09.2019 16:00;06.09.2019 17:00;1,323
06.09.2019 17:00;06.09.2019 18:00;1,735
06.09.2019 18:00;06.09.2019 19:00;0,916
06.09.2019 19:00;06.09.2019 20:00;0,914
06.09.2019 20:00;06.09.2019 21:00;0,881
06.09.2019 21:00;06.09.2019 22:00;0,759
06.09.2019 22:00;06.09.2019 23:00;1,018
06.09.2019 23:00;07.09.2019 00:00;1,317
07.09.2019 00:00;07.09.2019 01:00;0,282
07.09.2019 01:00;07.09.2019 02:00;0,462
07.09.2019 02:00;07.09.2019 03:00;0,229
07.09.2019 03:00;07.09.2019 04:00;0,522
07.09.2019 04:00;07.09.2019 05:00;0,422
07.09.2019 05:00;07.09.2019 06:00;0,295
07.09.2019 06:00;07.09.2019 07:00;0,34
07.09.2019 07:00;07.09.2019 08:00;0,693
07.09.2019 08:00;07.09.2019 09:00;1,639
07.09.2019 09:00;07.09.2019 10:00;1,141
07.09.2019 10:00;07.09.2019 11:00;0,555
07.09.2019 11:00;07.09.2019 12:00;1,138
07.09.2019 12:00;07.09.2019 13:00;1,035
07.09.2019 13:00;07.09.2019 14:00;1,148
07.09.2019 14:00;07.09.2019 15:00;1,705
07.09.2019 15:00;07.09.2019 16:00;1,35
07.09.2019 16:00;07.09.2019 17:00;2,257
07.09.2019 17:00;07.09.2019 18:00;1,946
07.09.2019 18:00;07.09.2019 19:00;1,392
07.09.2019 19:00;07.09.2019 20:00;1,344
07.09.2019 20:00;07.09.2019 21:00;0,752
07.09.2019 21:00;07.09.2019 22:00;1,136
07.09.2019 22:00;07.09.2019 23:00;0,772
07.09.2019 23:00;08.09.2019 00:00;1,055
08.09.2019 00:00;08.09.2019 01:00;0,875
08.09.2019 01:00;08.09.2019 02:00;0,471
08.09.2019 02:00;08.09.2019 03:00;0,582
08.09.2019 03:00;08.09.2019 04:00;0,626
08.09.2019 04:00;08.09.2019 05:00;0,68
08.09.2019 05:00;08.09.2019 06:00;0,809
08.09.2019 06:00;08.09.2019 07:00;0,507
08.09.2019 07:00;08.09.2019 08:00;0,909
08.09.2019 08:00;08.09.2019 09:00;0,691
08.09.2019 09:00;08.09.2019 10:00;1,495
08.09.2019 10:00;08.09.2019 11:00;1,168
08.09.2019 11:00;08.09.2019 12:00;0,731
08.09.2019 12:00;08.09.2019 13:00;1,1
08.09.2019 13:00;08.09.2019 14:00;1,953
08.09.2019 14:00;08.09.2019 15:00;0,742
08.09.2019 15:00;08.09.2019 16:00;0,459
08.09.2019 16:00;08.09.2019 17:00;1,923
08.09.2019 17:00;08.09.2019 18:00;2,921
08.09.2019 18:00;08.09.2019 19:00;1,062
08.09.2019 19:00;08.09.2019 20:00;2,603
08.09.2019 20:00;08.09.2019 21:00;0,753
08.09.2019 21:00;08.09.2019 22:00;1,014
08.09.2019 22:00;08.09.2019 23:00;0,774
08.09.2019 23:00;09.09.2019 00:00;0,833
09.09.2019 00:00;09.09.2019 01:00;0,663
09.09.2019 01:00;09.09.2019 02:00;0,646
09.09.2019 02:00;09.09.2019 03:00;1,601
09.09.2019 03:00;09.09.2019 04:00;0,64
09.09.2019 04:00;09.09.2019 05:00;0,658
09.09.2019 05:00;09.09.2019 06:00;0,76
09.09.2019 06:00;09.09.2019 07:00;1,277
09.09.2019 07:00;09.09.2019 08:00;2,782
09.09.2019 08:00;09.09.2019 09:00;0,673
09.09.2019 09:00;09.09.2019 10:00;0,707
09.09.2019 10:00;09.09.2019 11:00;0,695
09.09.2019 11:00;09.09.2019 12:00;0,659
09.09.2019 12:00;09.09.2019 13:00;0,856
09.09.2019 13:00;09.09.2019 14:00;0,479
09.09.2019 14:00;09.09.2019 15:00;0,858
09.09.2019 15:00;09.09.2019 16:00;1,231
09.09.2019 16:00;09.09.2019 17:00;1,798
09.09.2019 17:00;09.09.2019 18:00;2,211
09.09.2019 18:00;09.09.2019 19:00;3,744
09.09.2019 19:00;09.09.2019 20:00;1,287
09.09.2019 20:00;09.09.2019 21:00;0,899
09.09.2019 21:00;09.09.2019 22:00;1,837
09.09.2019 22:00;09.09.2019 23:00;0,789
09.09.2019 23:00;10.09.2019 00:00;0,391
10.09.2019 00:00;10.09.2019 01:00;0,428
10.09.2019 01:00;10.09.2019 02:00;1,304
