Fra;Til;KWH 60 Forbruk
06.10.2019 02:00;06.10.2019 03:00;1,441
06.10.2019 03:00;06.10.2019 04:00;1,412
06.10.2019 04:00;06.10.2019 05:00;1,514
06.10.2019 05:00;06.10.2019 06:00;1,496
06.10.2019 06:00;06.10.2019 07:00;1,578
06.10.2019 07:00;06.10.2019 08:00;1,598
06.10.2019 08:00;06.10.2019 09:00;2,625
06.10.2019 09:00;06.10.2019 10:00;2,394
06.10.2019 10:00;06.10.2019 11:00;1,717
06.10.2019 11:00;06.10.2019 12:00;1,557
06.10.2019 12:00;06.10.2019 13:00;1,415
06.10.2019 13:00;06.10.2019 14:00;1,61
06.10.2019 14:00;06.10.2019 15:00;2,595
06.10.2019 15:00;06.10.2019 16:00;2,095
06.10.2019 16:00;06.10.2019 17:00;2,478
06.10.2019 17:00;06.10.2019 18:00;2,381
06.10.2019 18:00;06.10.2019 19:00;3,469
06.10.2019 19:00;06.10.2019 20:00;3,586
06.10.2019 20:00;06.10.2019 21:00;2,315
06.10.2019 21:00;06.10.2019 22:00;2,171
06.10.2019 22:00;06.10.2019 23:00;3,573
06.10.2019 23:00;07.10.2019 00:00;2,668
07.10.2019 00:00;07.10.2019 01:00;1,396
07.10.2019 01:00;07.10.2019 02:00;1,482
07.10.2019 02:00;07.10.2019 03:00;1,441
07.10.2019 03:00;07.10.2019 04:00;1,295
07.10.2019 04:00;07.10.2019 05:00;1,427
07.10.2019 05:00;07.10.2019 06:00;1,562
07.10.2019 06:00;07.10.2019 07:00;1,659
07.10.2019 07:00;07.10.2019 08:00;2,982
07.10.2019 08:00;07.10.2019 09:00;1,707
07.10.2019 09:00;07.10.2019 10:00;1,535
07.10.2019 10:00;07.10.2019 11:00;1,543
07.10.2019 11:00;07.10.2019 12:00;1,494
07.10.2019 12:00;07.10.2019 13:00;1,385
07.10.2019 13:00;07.10.2019 14:00;1,397
07.10.2019 14:00;07.10.2019 15:00;1,349
07.10.2019 15:00;07.10.2019 16:00;1,971
07.10.2019 16:00;07.10.2019 17:00;1,37
07.10.2019 17:00;07.10.2019 18:00;2,151
