Fra;Til;KWH 60 Forbruk
06.08.2019 02:00;06.08.2019 03:00;0,264
06.08.2019 03:00;06.08.2019 04:00;0,257
06.08.2019 04:00;06.08.2019 05:00;0,184
06.08.2019 05:00;06.08.2019 06:00;1,056
06.08.2019 06:00;06.08.2019 07:00;0,291
06.08.2019 07:00;06.08.2019 08:00;0,312
06.08.2019 08:00;06.08.2019 09:00;0,207
06.08.2019 09:00;06.08.2019 10:00;0,17
06.08.2019 10:00;06.08.2019 11:00;0,234
06.08.2019 11:00;06.08.2019 12:00;0,465
06.08.2019 12:00;06.08.2019 13:00;0,851
06.08.2019 13:00;06.08.2019 14:00;0,249
06.08.2019 14:00;06.08.2019 15:00;0,8
06.08.2019 15:00;06.08.2019 16:00;1,961
06.08.2019 16:00;06.08.2019 17:00;0,794
06.08.2019 17:00;06.08.2019 18:00;0,519
06.08.2019 18:00;06.08.2019 19:00;0,513
06.08.2019 19:00;06.08.2019 20:00;2,247
06.08.2019 20:00;06.08.2019 21:00;0,485
06.08.2019 21:00;06.08.2019 22:00;0,547
06.08.2019 22:00;06.08.2019 23:00;0,273
06.08.2019 23:00;07.08.2019 00:00;0,195
07.08.2019 00:00;07.08.2019 01:00;0,281
07.08.2019 01:00;07.08.2019 02:00;0,273
07.08.2019 02:00;07.08.2019 03:00;0,743
07.08.2019 03:00;07.08.2019 04:00;0,566
07.08.2019 04:00;07.08.2019 05:00;0,26
07.08.2019 05:00;07.08.2019 06:00;0,274
07.08.2019 06:00;07.08.2019 07:00;0,229
07.08.2019 07:00;07.08.2019 08:00;0,397
07.08.2019 08:00;07.08.2019 09:00;0,288
07.08.2019 09:00;07.08.2019 10:00;0,243
07.08.2019 10:00;07.08.2019 11:00;0,871
07.08.2019 11:00;07.08.2019 12:00;0,373
07.08.2019 12:00;07.08.2019 13:00;0,259
07.08.2019 13:00;07.08.2019 14:00;0,253
07.08.2019 14:00;07.08.2019 15:00;0,258
07.08.2019 15:00;07.08.2019 16:00;0,421
07.08.2019 16:00;07.08.2019 17:00;1,261
07.08.2019 17:00;07.08.2019 18:00;1,376
07.08.2019 18:00;07.08.2019 19:00;0,607
07.08.2019 19:00;07.08.2019 20:00;0,704
07.08.2019 20:00;07.08.2019 21:00;0,47
07.08.2019 21:00;07.08.2019 22:00;0,723
07.08.2019 22:00;07.08.2019 23:00;0,643
07.08.2019 23:00;08.08.2019 00:00;1,119
08.08.2019 00:00;08.08.2019 01:00;0,247
08.08.2019 01:00;08.08.2019 02:00;0,255
08.08.2019 02:00;08.08.2019 03:00;0,246
08.08.2019 03:00;08.08.2019 04:00;0,177
08.08.2019 04:00;08.08.2019 05:00;0,181
08.08.2019 05:00;08.08.2019 06:00;0,262
08.08.2019 06:00;08.08.2019 07:00;0,253
08.08.2019 07:00;08.08.2019 08:00;1,24
08.08.2019 08:00;08.08.2019 09:00;0,217
08.08.2019 09:00;08.08.2019 10:00;0,248
08.08.2019 10:00;08.08.2019 11:00;0,254
08.08.2019 11:00;08.08.2019 12:00;0,193
08.08.2019 12:00;08.08.2019 13:00;0,176
08.08.2019 13:00;08.08.2019 14:00;0,249
08.08.2019 14:00;08.08.2019 15:00;0,281
08.08.2019 15:00;08.08.2019 16:00;0,976
08.08.2019 16:00;08.08.2019 17:00;1,219
08.08.2019 17:00;08.08.2019 18:00;1,197
08.08.2019 18:00;08.08.2019 19:00;2,393
08.08.2019 19:00;08.08.2019 20:00;0,214
08.08.2019 20:00;08.08.2019 21:00;1,994
08.08.2019 21:00;08.08.2019 22:00;1,628
08.08.2019 22:00;08.08.2019 23:00;0,34
08.08.2019 23:00;09.08.2019 00:00;0,243
09.08.2019 00:00;09.08.2019 01:00;0,177
09.08.2019 01:00;09.08.2019 02:00;0,206
09.08.2019 02:00;09.08.2019 03:00;0,259
09.08.2019 03:00;09.08.2019 04:00;0,411
09.08.2019 04:00;09.08.2019 05:00;0,563
09.08.2019 05:00;09.08.2019 06:00;0,701
09.08.2019 06:00;09.08.2019 07:00;0,244
09.08.2019 07:00;09.08.2019 08:00;0,333
09.08.2019 08:00;09.08.2019 09:00;0,292
09.08.2019 09:00;09.08.2019 10:00;0,181
09.08.2019 10:00;09.08.2019 11:00;0,78
09.08.2019 11:00;09.08.2019 12:00;0,759
09.08.2019 12:00;09.08.2019 13:00;1,221
09.08.2019 13:00;09.08.2019 14:00;0,275
09.08.2019 14:00;09.08.2019 15:00;0,177
09.08.2019 15:00;09.08.2019 16:00;0,889
09.08.2019 16:00;09.08.2019 17:00;0,377
09.08.2019 17:00;09.08.2019 18:00;0,476
09.08.2019 18:00;09.08.2019 19:00;1,192
09.08.2019 19:00;09.08.2019 20:00;1,071
09.08.2019 20:00;09.08.2019 21:00;0,626
09.08.2019 21:00;09.08.2019 22:00;0,597
09.08.2019 22:00;09.08.2019 23:00;0,52
09.08.2019 23:00;10.08.2019 00:00;0,259
10.08.2019 00:00;10.08.2019 01:00;0,254
