Fra;Til;KWH 60 Forbruk
06.12.2019 02:00;06.12.2019 03:00;1,21
06.12.2019 03:00;06.12.2019 04:00;2,162
06.12.2019 04:00;06.12.2019 05:00;1,426
06.12.2019 05:00;06.12.2019 06:00;1,476
06.12.2019 06:00;06.12.2019 07:00;1,249
06.12.2019 07:00;06.12.2019 08:00;1,526
06.12.2019 08:00;06.12.2019 09:00;1,56
06.12.2019 09:00;06.12.2019 10:00;1,549
06.12.2019 10:00;06.12.2019 11:00;2,596
06.12.2019 11:00;06.12.2019 12:00;1,724
06.12.2019 12:00;06.12.2019 13:00;1,67
06.12.2019 13:00;06.12.2019 14:00;2,14
06.12.2019 14:00;06.12.2019 15:00;1,945
06.12.2019 15:00;06.12.2019 16:00;2,432
06.12.2019 16:00;06.12.2019 17:00;3,383
06.12.2019 17:00;06.12.2019 18:00;2,444
06.12.2019 18:00;06.12.2019 19:00;4,722
06.12.2019 19:00;06.12.2019 20:00;3,117
06.12.2019 20:00;06.12.2019 21:00;2,068
06.12.2019 21:00;06.12.2019 22:00;1,951
06.12.2019 22:00;06.12.2019 23:00;1,595
06.12.2019 23:00;07.12.2019 00:00;1,75
07.12.2019 00:00;07.12.2019 01:00;1,478
07.12.2019 01:00;07.12.2019 02:00;2,306
07.12.2019 02:00;07.12.2019 03:00;1,554
07.12.2019 03:00;07.12.2019 04:00;1,582
07.12.2019 04:00;07.12.2019 05:00;1,611
07.12.2019 05:00;07.12.2019 06:00;1,561
07.12.2019 06:00;07.12.2019 07:00;1,547
07.12.2019 07:00;07.12.2019 08:00;1,84
07.12.2019 08:00;07.12.2019 09:00;1,989
07.12.2019 09:00;07.12.2019 10:00;3,921
07.12.2019 10:00;07.12.2019 11:00;2,837
07.12.2019 11:00;07.12.2019 12:00;1,384
07.12.2019 12:00;07.12.2019 13:00;1,305
07.12.2019 13:00;07.12.2019 14:00;1,777
07.12.2019 14:00;07.12.2019 15:00;3,194
07.12.2019 15:00;07.12.2019 16:00;2,896
07.12.2019 16:00;07.12.2019 17:00;3,147
07.12.2019 17:00;07.12.2019 18:00;2,517
07.12.2019 18:00;07.12.2019 19:00;3,25
07.12.2019 19:00;07.12.2019 20:00;2,653
07.12.2019 20:00;07.12.2019 21:00;2,508
07.12.2019 21:00;07.12.2019 22:00;2,352
07.12.2019 22:00;07.12.2019 23:00;1,619
07.12.2019 23:00;08.12.2019 00:00;1,404
08.12.2019 00:00;08.12.2019 01:00;1,504
08.12.2019 01:00;08.12.2019 02:00;1,609
08.12.2019 02:00;08.12.2019 03:00;1,579
08.12.2019 03:00;08.12.2019 04:00;1,649
08.12.2019 04:00;08.12.2019 05:00;2,611
08.12.2019 05:00;08.12.2019 06:00;1,571
08.12.2019 06:00;08.12.2019 07:00;1,559
08.12.2019 07:00;08.12.2019 08:00;1,714
08.12.2019 08:00;08.12.2019 09:00;1,941
08.12.2019 09:00;08.12.2019 10:00;1,937
08.12.2019 10:00;08.12.2019 11:00;2,289
08.12.2019 11:00;08.12.2019 12:00;3,751
08.12.2019 12:00;08.12.2019 13:00;1,879
08.12.2019 13:00;08.12.2019 14:00;1,54
08.12.2019 14:00;08.12.2019 15:00;1,687
08.12.2019 15:00;08.12.2019 16:00;1,709
08.12.2019 16:00;08.12.2019 17:00;1,678
08.12.2019 17:00;08.12.2019 18:00;1,721
08.12.2019 18:00;08.12.2019 19:00;3,11
08.12.2019 19:00;08.12.2019 20:00;2,531
08.12.2019 20:00;08.12.2019 21:00;2,502
08.12.2019 21:00;08.12.2019 22:00;2,095
08.12.2019 22:00;08.12.2019 23:00;1,713
08.12.2019 23:00;09.12.2019 00:00;1,417
