Fra,Til,KWH 60 Forbruk
05.07.2021 17:00,05.07.2021 18:00,"0,702"
05.07.2021 18:00,05.07.2021 19:00,"1,047"
05.07.2021 19:00,05.07.2021 20:00,"1,332"
05.07.2021 20:00,05.07.2021 21:00,"0,51"
05.07.2021 21:00,05.07.2021 22:00,"1,662"
05.07.2021 22:00,05.07.2021 23:00,"0,422"
05.07.2021 23:00,06.07.2021 00:00,"0,187"
06.07.2021 00:00,06.07.2021 01:00,"0,165"
06.07.2021 01:00,06.07.2021 02:00,"1,051"
06.07.2021 02:00,06.07.2021 03:00,"0,193"
06.07.2021 03:00,06.07.2021 04:00,"0,188"
06.07.2021 04:00,06.07.2021 05:00,"0,166"
06.07.2021 05:00,06.07.2021 06:00,"0,178"
06.07.2021 06:00,06.07.2021 07:00,"1,207"
06.07.2021 07:00,06.07.2021 08:00,"0,518"
06.07.2021 08:00,06.07.2021 09:00,"1,374"
06.07.2021 09:00,06.07.2021 10:00,"0,265"
06.07.2021 10:00,06.07.2021 11:00,"0,093"
06.07.2021 11:00,06.07.2021 12:00,"0,111"
06.07.2021 12:00,06.07.2021 13:00,"0,907"
06.07.2021 13:00,06.07.2021 14:00,"0,129"
06.07.2021 14:00,06.07.2021 15:00,"0,103"
06.07.2021 15:00,06.07.2021 16:00,"0,141"
06.07.2021 16:00,06.07.2021 17:00,"0,087"
06.07.2021 17:00,06.07.2021 18:00,"1,968"
06.07.2021 18:00,06.07.2021 19:00,"0,517"
06.07.2021 19:00,06.07.2021 20:00,"0,726"
06.07.2021 20:00,06.07.2021 21:00,"1,813"
06.07.2021 21:00,06.07.2021 22:00,"1,822"
06.07.2021 22:00,06.07.2021 23:00,"0,764"
06.07.2021 23:00,07.07.2021 00:00,"0,279"
07.07.2021 00:00,07.07.2021 01:00,"0,252"
07.07.2021 01:00,07.07.2021 02:00,"0,908"
07.07.2021 02:00,07.07.2021 03:00,"0,277"
07.07.2021 03:00,07.07.2021 04:00,"0,199"
07.07.2021 04:00,07.07.2021 05:00,"0,216"
07.07.2021 05:00,07.07.2021 06:00,"0,174"
07.07.2021 06:00,07.07.2021 07:00,"1,344"
07.07.2021 07:00,07.07.2021 08:00,"0,409"
07.07.2021 08:00,07.07.2021 09:00,"0,478"
07.07.2021 09:00,07.07.2021 10:00,"0,789"
07.07.2021 10:00,07.07.2021 11:00,"0,722"
07.07.2021 11:00,07.07.2021 12:00,"0,332"
07.07.2021 12:00,07.07.2021 13:00,"0,453"
07.07.2021 13:00,07.07.2021 14:00,"1,909"
07.07.2021 14:00,07.07.2021 15:00,"0,414"
07.07.2021 15:00,07.07.2021 16:00,"1,431"
07.07.2021 16:00,07.07.2021 17:00,"1,054"
07.07.2021 17:00,07.07.2021 18:00,"0,557"
07.07.2021 18:00,07.07.2021 19:00,"1,016"
07.07.2021 19:00,07.07.2021 20:00,"1,4"
07.07.2021 20:00,07.07.2021 21:00,"1,607"
07.07.2021 21:00,07.07.2021 22:00,"1,736"
07.07.2021 22:00,07.07.2021 23:00,"0,401"
07.07.2021 23:00,08.07.2021 00:00,"0,275"
08.07.2021 00:00,08.07.2021 01:00,"1,043"
08.07.2021 01:00,08.07.2021 02:00,"0,195"
08.07.2021 02:00,08.07.2021 03:00,"0,216"
08.07.2021 03:00,08.07.2021 04:00,"0,237"
08.07.2021 04:00,08.07.2021 05:00,"0,207"
08.07.2021 05:00,08.07.2021 06:00,"1,101"
08.07.2021 06:00,08.07.2021 07:00,"0,298"
08.07.2021 07:00,08.07.2021 08:00,"0,302"
08.07.2021 08:00,08.07.2021 09:00,"0,721"
08.07.2021 09:00,08.07.2021 10:00,"0,853"
08.07.2021 10:00,08.07.2021 11:00,"0,14"
08.07.2021 11:00,08.07.2021 12:00,"0,104"
08.07.2021 12:00,08.07.2021 13:00,"0,134"
08.07.2021 13:00,08.07.2021 14:00,"1,259"
08.07.2021 14:00,08.07.2021 15:00,"0,407"
08.07.2021 15:00,08.07.2021 16:00,"1,278"
08.07.2021 16:00,08.07.2021 17:00,"1,959"
08.07.2021 17:00,08.07.2021 18:00,"0,429"
08.07.2021 18:00,08.07.2021 19:00,"0,473"
