Fra,Til,KWH 60 Forbruk
05.10.2021 17:00,05.10.2021 18:00,"1,754"
05.10.2021 18:00,05.10.2021 19:00,"1,113"
05.10.2021 19:00,05.10.2021 20:00,"2,305"
05.10.2021 20:00,05.10.2021 21:00,"1,982"
05.10.2021 21:00,05.10.2021 22:00,"1,427"
05.10.2021 22:00,05.10.2021 23:00,"0,932"
05.10.2021 23:00,06.10.2021 00:00,"0,855"
06.10.2021 00:00,06.10.2021 01:00,"1,396"
06.10.2021 01:00,06.10.2021 02:00,"0,731"
06.10.2021 02:00,06.10.2021 03:00,"0,751"
06.10.2021 03:00,06.10.2021 04:00,"0,67"
06.10.2021 04:00,06.10.2021 05:00,"1,593"
06.10.2021 05:00,06.10.2021 06:00,"0,733"
06.10.2021 06:00,06.10.2021 07:00,"0,8"
06.10.2021 07:00,06.10.2021 08:00,"1,419"
06.10.2021 08:00,06.10.2021 09:00,"0,912"
06.10.2021 09:00,06.10.2021 10:00,"1,07"
06.10.2021 10:00,06.10.2021 11:00,"0,706"
06.10.2021 11:00,06.10.2021 12:00,"0,725"
06.10.2021 12:00,06.10.2021 13:00,"0,54"
06.10.2021 13:00,06.10.2021 14:00,"1,454"
06.10.2021 14:00,06.10.2021 15:00,"0,665"
06.10.2021 15:00,06.10.2021 16:00,"0,517"
06.10.2021 16:00,06.10.2021 17:00,"2,161"
06.10.2021 17:00,06.10.2021 18:00,"1,285"
06.10.2021 18:00,06.10.2021 19:00,"1,368"
06.10.2021 19:00,06.10.2021 20:00,"1,991"
06.10.2021 20:00,06.10.2021 21:00,"1,303"
06.10.2021 21:00,06.10.2021 22:00,"0,618"
06.10.2021 22:00,06.10.2021 23:00,"2,033"
06.10.2021 23:00,07.10.2021 00:00,"0,353"
07.10.2021 00:00,07.10.2021 01:00,"0,38"
07.10.2021 01:00,07.10.2021 02:00,"0,376"
07.10.2021 02:00,07.10.2021 03:00,"1,196"
07.10.2021 03:00,07.10.2021 04:00,"0,269"
07.10.2021 04:00,07.10.2021 05:00,"0,24"
07.10.2021 05:00,07.10.2021 06:00,"0,504"
07.10.2021 06:00,07.10.2021 07:00,"1,34"
07.10.2021 07:00,07.10.2021 08:00,"1,242"
07.10.2021 08:00,07.10.2021 09:00,"1,063"
07.10.2021 09:00,07.10.2021 10:00,"1,894"
07.10.2021 10:00,07.10.2021 11:00,"1,386"
07.10.2021 11:00,07.10.2021 12:00,"1,319"
07.10.2021 12:00,07.10.2021 13:00,"0,861"
07.10.2021 13:00,07.10.2021 14:00,"1,473"
07.10.2021 14:00,07.10.2021 15:00,"0,848"
07.10.2021 15:00,07.10.2021 16:00,"1,019"
07.10.2021 16:00,07.10.2021 17:00,"1,527"
07.10.2021 17:00,07.10.2021 18:00,"2,132"
07.10.2021 18:00,07.10.2021 19:00,"1,301"
07.10.2021 19:00,07.10.2021 20:00,"1,941"
07.10.2021 20:00,07.10.2021 21:00,"3,545"
07.10.2021 21:00,07.10.2021 22:00,"1,99"
07.10.2021 22:00,07.10.2021 23:00,"1,258"
07.10.2021 23:00,08.10.2021 00:00,"0,729"
08.10.2021 00:00,08.10.2021 01:00,"1,514"
08.10.2021 01:00,08.10.2021 02:00,"0,733"
08.10.2021 02:00,08.10.2021 03:00,"0,743"
08.10.2021 03:00,08.10.2021 04:00,"0,696"
08.10.2021 04:00,08.10.2021 05:00,"1,447"
08.10.2021 05:00,08.10.2021 06:00,"0,734"
08.10.2021 06:00,08.10.2021 07:00,"1,103"
08.10.2021 07:00,08.10.2021 08:00,"1,795"
08.10.2021 08:00,08.10.2021 09:00,"1,729"
08.10.2021 09:00,08.10.2021 10:00,"1,024"
08.10.2021 10:00,08.10.2021 11:00,"0,968"
08.10.2021 11:00,08.10.2021 12:00,"1,61"
08.10.2021 12:00,08.10.2021 13:00,"0,867"
08.10.2021 13:00,08.10.2021 14:00,"0,797"
08.10.2021 14:00,08.10.2021 15:00,"0,68"
08.10.2021 15:00,08.10.2021 16:00,"1,713"
08.10.2021 16:00,08.10.2021 17:00,"1,848"
08.10.2021 17:00,08.10.2021 18:00,"1,931"
08.10.2021 18:00,08.10.2021 19:00,"0,731"
08.10.2021 19:00,08.10.2021 20:00,"1,468"
08.10.2021 20:00,08.10.2021 21:00,"0,522"
08.10.2021 21:00,08.10.2021 22:00,"0,541"
08.10.2021 22:00,08.10.2021 23:00,"0,435"
08.10.2021 23:00,09.10.2021 00:00,"1,089"
09.10.2021 00:00,09.10.2021 01:00,"0,275"
09.10.2021 01:00,09.10.2021 02:00,"0,208"
09.10.2021 02:00,09.10.2021 03:00,"0,289"
09.10.2021 03:00,09.10.2021 04:00,"0,717"
09.10.2021 04:00,09.10.2021 05:00,"0,535"
09.10.2021 05:00,09.10.2021 06:00,"0,276"
09.10.2021 06:00,09.10.2021 07:00,"0,417"
09.10.2021 07:00,09.10.2021 08:00,"1,479"
09.10.2021 08:00,09.10.2021 09:00,"1,184"
09.10.2021 09:00,09.10.2021 10:00,"1,034"
09.10.2021 10:00,09.10.2021 11:00,"0,917"
09.10.2021 11:00,09.10.2021 12:00,"1,487"
09.10.2021 12:00,09.10.2021 13:00,"0,8"
09.10.2021 13:00,09.10.2021 14:00,"1,055"
09.10.2021 14:00,09.10.2021 15:00,"2,113"
09.10.2021 15:00,09.10.2021 16:00,"3,219"
09.10.2021 16:00,09.10.2021 17:00,"1,635"
09.10.2021 17:00,09.10.2021 18:00,"0,725"
09.10.2021 18:00,09.10.2021 19:00,"1,621"
09.10.2021 19:00,09.10.2021 20:00,"0,768"
09.10.2021 20:00,09.10.2021 21:00,"0,748"
09.10.2021 21:00,09.10.2021 22:00,"1,546"
09.10.2021 22:00,09.10.2021 23:00,"0,59"
09.10.2021 23:00,10.10.2021 00:00,"0,164"
10.10.2021 00:00,10.10.2021 01:00,"0,245"
10.10.2021 01:00,10.10.2021 02:00,"0,957"
10.10.2021 02:00,10.10.2021 03:00,"0,362"
10.10.2021 03:00,10.10.2021 04:00,"0,196"
10.10.2021 04:00,10.10.2021 05:00,"0,285"
10.10.2021 05:00,10.10.2021 06:00,"0,264"
10.10.2021 06:00,10.10.2021 07:00,"1,867"
10.10.2021 07:00,10.10.2021 08:00,"1,228"
10.10.2021 08:00,10.10.2021 09:00,"0,913"
10.10.2021 09:00,10.10.2021 10:00,"0,709"
10.10.2021 10:00,10.10.2021 11:00,"1,509"
10.10.2021 11:00,10.10.2021 12:00,"0,624"
10.10.2021 12:00,10.10.2021 13:00,"0,724"
10.10.2021 13:00,10.10.2021 14:00,"0,691"
10.10.2021 14:00,10.10.2021 15:00,"0,488"
10.10.2021 15:00,10.10.2021 16:00,"2,148"
10.10.2021 16:00,10.10.2021 17:00,"0,842"
10.10.2021 17:00,10.10.2021 18:00,"1,898"
10.10.2021 18:00,10.10.2021 19:00,"2,708"
10.10.2021 19:00,10.10.2021 20:00,"1,444"
10.10.2021 20:00,10.10.2021 21:00,"1,634"
10.10.2021 21:00,10.10.2021 22:00,"1,333"
10.10.2021 22:00,10.10.2021 23:00,"1,981"
10.10.2021 23:00,11.10.2021 00:00,"0,394"
