Navn;Stasjon;Tid(norsk normaltid);Minimumstemperatur (døgn)
Kise Pa Hedmark;SN12550;06.01.1971;-20,7
Kise Pa Hedmark;SN12550;07.01.1971;-18,4
Kise Pa Hedmark;SN12550;08.01.1971;-0,4
Kise Pa Hedmark;SN12550;09.01.1971;-3,6
Kise Pa Hedmark;SN12550;10.01.1971;4,2
Kise Pa Hedmark;SN12550;11.01.1971;0
Kise Pa Hedmark;SN12550;12.01.1971;-3,4
Kise Pa Hedmark;SN12550;13.01.1971;-8
Kise Pa Hedmark;SN12550;14.01.1971;-9,9
Kise Pa Hedmark;SN12550;15.01.1971;-8,9
Kise Pa Hedmark;SN12550;16.01.1971;-10,1
Kise Pa Hedmark;SN12550;17.01.1971;-11,7
Kise Pa Hedmark;SN12550;18.01.1971;-9,2
Kise Pa Hedmark;SN12550;19.01.1971;0
Kise Pa Hedmark;SN12550;20.01.1971;1,2
Kise Pa Hedmark;SN12550;21.01.1971;-3,1
Kise Pa Hedmark;SN12550;22.01.1971;-3,4
Kise Pa Hedmark;SN12550;23.01.1971;-0,6
Kise Pa Hedmark;SN12550;24.01.1971;0,8
Kise Pa Hedmark;SN12550;25.01.1971;-2,4
Kise Pa Hedmark;SN12550;26.01.1971;-3
Kise Pa Hedmark;SN12550;27.01.1971;-2,9
Kise Pa Hedmark;SN12550;28.01.1971;-5,5
Kise Pa Hedmark;SN12550;29.01.1971;-10,9
Kise Pa Hedmark;SN12550;30.01.1971;-18,4
Kise Pa Hedmark;SN12550;31.01.1971;-17,5
Kise Pa Hedmark;SN12550;01.02.1971;-11
Kise Pa Hedmark;SN12550;02.02.1971;-13,3
Kise Pa Hedmark;SN12550;03.02.1971;-11,9
Kise Pa Hedmark;SN12550;04.02.1971;-7,9
Kise Pa Hedmark;SN12550;05.02.1971;-3,4
Kise Pa Hedmark;SN12550;06.02.1971;-2,8
Kise Pa Hedmark;SN12550;07.02.1971;-6,1
Kise Pa Hedmark;SN12550;08.02.1971;-4,2
Kise Pa Hedmark;SN12550;09.02.1971;-7
Kise Pa Hedmark;SN12550;10.02.1971;-8,7
Kise Pa Hedmark;SN12550;11.02.1971;-4,9
Kise Pa Hedmark;SN12550;12.02.1971;-5,8
Kise Pa Hedmark;SN12550;13.02.1971;2,3
Kise Pa Hedmark;SN12550;14.02.1971;1
Kise Pa Hedmark;SN12550;15.02.1971;-6
Kise Pa Hedmark;SN12550;16.02.1971;0,7
Kise Pa Hedmark;SN12550;17.02.1971;-0,2
Kise Pa Hedmark;SN12550;18.02.1971;-0,6
Kise Pa Hedmark;SN12550;19.02.1971;-2,1
Kise Pa Hedmark;SN12550;20.02.1971;-3,5
Kise Pa Hedmark;SN12550;21.02.1971;-3,5
Kise Pa Hedmark;SN12550;22.02.1971;-2,4
Kise Pa Hedmark;SN12550;23.02.1971;-11
Kise Pa Hedmark;SN12550;24.02.1971;-8,5
Kise Pa Hedmark;SN12550;25.02.1971;-7,5
Kise Pa Hedmark;SN12550;26.02.1971;-10,5
Kise Pa Hedmark;SN12550;27.02.1971;-14,3
Kise Pa Hedmark;SN12550;28.02.1971;-12,2
Kise Pa Hedmark;SN12550;01.03.1971;-16,5
Kise Pa Hedmark;SN12550;02.03.1971;-14,9
Kise Pa Hedmark;SN12550;03.03.1971;-18,7
Kise Pa Hedmark;SN12550;04.03.1971;-23,1
Kise Pa Hedmark;SN12550;05.03.1971;-22
Kise Pa Hedmark;SN12550;06.03.1971;-16
Kise Pa Hedmark;SN12550;07.03.1971;-9,2
Kise Pa Hedmark;SN12550;08.03.1971;-2,5
Kise Pa Hedmark;SN12550;09.03.1971;-7,3
Kise Pa Hedmark;SN12550;10.03.1971;-14,6
Kise Pa Hedmark;SN12550;11.03.1971;-11,7
Kise Pa Hedmark;SN12550;12.03.1971;-14,2
Kise Pa Hedmark;SN12550;13.03.1971;-10,9
Kise Pa Hedmark;SN12550;14.03.1971;-16,6
Kise Pa Hedmark;SN12550;15.03.1971;-9,9
Kise Pa Hedmark;SN12550;16.03.1971;0
Kise Pa Hedmark;SN12550;17.03.1971;0
Kise Pa Hedmark;SN12550;18.03.1971;-1,4
Kise Pa Hedmark;SN12550;19.03.1971;-0,8
Kise Pa Hedmark;SN12550;20.03.1971;-1,4
Kise Pa Hedmark;SN12550;21.03.1971;-1
Kise Pa Hedmark;SN12550;22.03.1971;-9
Kise Pa Hedmark;SN12550;23.03.1971;-12
Kise Pa Hedmark;SN12550;24.03.1971;-5,8
Kise Pa Hedmark;SN12550;25.03.1971;-1,5
Kise Pa Hedmark;SN12550;26.03.1971;-6,4
Kise Pa Hedmark;SN12550;27.03.1971;-7,9
Kise Pa Hedmark;SN12550;28.03.1971;-17,1
Kise Pa Hedmark;SN12550;29.03.1971;-6,7
Kise Pa Hedmark;SN12550;30.03.1971;-2,5
Kise Pa Hedmark;SN12550;31.03.1971;-6,9
Kise Pa Hedmark;SN12550;01.04.1971;-7,1
Kise Pa Hedmark;SN12550;02.04.1971;-0,8
Kise Pa Hedmark;SN12550;03.04.1971;0,1
Kise Pa Hedmark;SN12550;04.04.1971;-0,6
Kise Pa Hedmark;SN12550;05.04.1971;-8,2
Kise Pa Hedmark;SN12550;06.04.1971;-8
Kise Pa Hedmark;SN12550;07.04.1971;-2,8
Kise Pa Hedmark;SN12550;08.04.1971;0,6
Kise Pa Hedmark;SN12550;09.04.1971;-0,9
Kise Pa Hedmark;SN12550;10.04.1971;0,1
Kise Pa Hedmark;SN12550;11.04.1971;-1,9
Kise Pa Hedmark;SN12550;12.04.1971;-0,6
Kise Pa Hedmark;SN12550;13.04.1971;-1,8
Kise Pa Hedmark;SN12550;14.04.1971;0,3
Kise Pa Hedmark;SN12550;15.04.1971;-1,1
Kise Pa Hedmark;SN12550;16.04.1971;-0,4
Kise Pa Hedmark;SN12550;17.04.1971;0,9
Kise Pa Hedmark;SN12550;18.04.1971;-1
Kise Pa Hedmark;SN12550;19.04.1971;0,8
Kise Pa Hedmark;SN12550;20.04.1971;1,6
Kise Pa Hedmark;SN12550;21.04.1971;0,6
Kise Pa Hedmark;SN12550;22.04.1971;0,9
Kise Pa Hedmark;SN12550;23.04.1971;1,7
Kise Pa Hedmark;SN12550;24.04.1971;-0,9
Kise Pa Hedmark;SN12550;25.04.1971;0
Kise Pa Hedmark;SN12550;26.04.1971;-4,6
Kise Pa Hedmark;SN12550;27.04.1971;-1,2
Kise Pa Hedmark;SN12550;28.04.1971;-2,6
Kise Pa Hedmark;SN12550;29.04.1971;-1,4
Kise Pa Hedmark;SN12550;30.04.1971;-3,1
Kise Pa Hedmark;SN12550;01.05.1971;-2,8
Kise Pa Hedmark;SN12550;02.05.1971;1,7
Kise Pa Hedmark;SN12550;03.05.1971;5,7
Kise Pa Hedmark;SN12550;04.05.1971;2,9
Kise Pa Hedmark;SN12550;05.05.1971;0,2
Kise Pa Hedmark;SN12550;06.05.1971;0,6
Kise Pa Hedmark;SN12550;07.05.1971;0,8
Kise Pa Hedmark;SN12550;08.05.1971;0,9
Kise Pa Hedmark;SN12550;09.05.1971;5,2
Kise Pa Hedmark;SN12550;10.05.1971;3,7
Kise Pa Hedmark;SN12550;11.05.1971;6,1
Kise Pa Hedmark;SN12550;12.05.1971;6,7
Kise Pa Hedmark;SN12550;13.05.1971;2,2
Kise Pa Hedmark;SN12550;14.05.1971;2,4
Kise Pa Hedmark;SN12550;15.05.1971;3,7
Kise Pa Hedmark;SN12550;16.05.1971;6,6
Kise Pa Hedmark;SN12550;17.05.1971;7,4
Kise Pa Hedmark;SN12550;18.05.1971;4,6
Kise Pa Hedmark;SN12550;19.05.1971;3,3
Kise Pa Hedmark;SN12550;20.05.1971;3
Kise Pa Hedmark;SN12550;21.05.1971;2,2
Kise Pa Hedmark;SN12550;22.05.1971;4,2
Kise Pa Hedmark;SN12550;23.05.1971;1,7
Kise Pa Hedmark;SN12550;24.05.1971;0,6
Kise Pa Hedmark;SN12550;25.05.1971;1,7
Kise Pa Hedmark;SN12550;26.05.1971;-0,5
Kise Pa Hedmark;SN12550;27.05.1971;5,8
Kise Pa Hedmark;SN12550;28.05.1971;5,7
Kise Pa Hedmark;SN12550;29.05.1971;10,1
Kise Pa Hedmark;SN12550;30.05.1971;10,8
Kise Pa Hedmark;SN12550;31.05.1971;8,2
Kise Pa Hedmark;SN12550;01.06.1971;10,7
Kise Pa Hedmark;SN12550;02.06.1971;9,5
Kise Pa Hedmark;SN12550;03.06.1971;8,4
Kise Pa Hedmark;SN12550;04.06.1971;6,4
Kise Pa Hedmark;SN12550;05.06.1971;11,8
Kise Pa Hedmark;SN12550;06.06.1971;6,7
Kise Pa Hedmark;SN12550;07.06.1971;7,9
Kise Pa Hedmark;SN12550;08.06.1971;8
Kise Pa Hedmark;SN12550;09.06.1971;3,3
Kise Pa Hedmark;SN12550;10.06.1971;5,5
Kise Pa Hedmark;SN12550;11.06.1971;7
Kise Pa Hedmark;SN12550;12.06.1971;4,4
Kise Pa Hedmark;SN12550;13.06.1971;8
Kise Pa Hedmark;SN12550;14.06.1971;6,9
Kise Pa Hedmark;SN12550;15.06.1971;3,6
Kise Pa Hedmark;SN12550;16.06.1971;3,5
Kise Pa Hedmark;SN12550;17.06.1971;7,6
Kise Pa Hedmark;SN12550;18.06.1971;4,7
Kise Pa Hedmark;SN12550;19.06.1971;6,3
Kise Pa Hedmark;SN12550;20.06.1971;3,6
Kise Pa Hedmark;SN12550;21.06.1971;6
Kise Pa Hedmark;SN12550;22.06.1971;8
Kise Pa Hedmark;SN12550;23.06.1971;8,9
Kise Pa Hedmark;SN12550;24.06.1971;10,2
Kise Pa Hedmark;SN12550;25.06.1971;9,6
Kise Pa Hedmark;SN12550;26.06.1971;10,7
Kise Pa Hedmark;SN12550;27.06.1971;13
Kise Pa Hedmark;SN12550;28.06.1971;11
Kise Pa Hedmark;SN12550;29.06.1971;9,2
Kise Pa Hedmark;SN12550;30.06.1971;11
Kise Pa Hedmark;SN12550;01.07.1971;7,1
Kise Pa Hedmark;SN12550;01.01.1972;-12,6
Kise Pa Hedmark;SN12550;02.01.1972;-13
Kise Pa Hedmark;SN12550;03.01.1972;-14,4
Kise Pa Hedmark;SN12550;04.01.1972;-15,5
Kise Pa Hedmark;SN12550;05.01.1972;-14,7
Kise Pa Hedmark;SN12550;06.01.1972;-5,4
Kise Pa Hedmark;SN12550;07.01.1972;-10,3
Kise Pa Hedmark;SN12550;08.01.1972;-13,3
Kise Pa Hedmark;SN12550;09.01.1972;-14,8
Kise Pa Hedmark;SN12550;10.01.1972;-18,2
Kise Pa Hedmark;SN12550;11.01.1972;-19,7
Kise Pa Hedmark;SN12550;12.01.1972;-13,7
Kise Pa Hedmark;SN12550;13.01.1972;-7,3
Kise Pa Hedmark;SN12550;14.01.1972;-6,3
Kise Pa Hedmark;SN12550;15.01.1972;-12,7
Kise Pa Hedmark;SN12550;16.01.1972;-14
Kise Pa Hedmark;SN12550;17.01.1972;-14,1
Kise Pa Hedmark;SN12550;18.01.1972;-15,9
Kise Pa Hedmark;SN12550;19.01.1972;-15,7
Kise Pa Hedmark;SN12550;20.01.1972;-17,5
Kise Pa Hedmark;SN12550;21.01.1972;-13,3
Kise Pa Hedmark;SN12550;22.01.1972;-15,5
Kise Pa Hedmark;SN12550;23.01.1972;-13,2
Kise Pa Hedmark;SN12550;24.01.1972;-5,8
Kise Pa Hedmark;SN12550;25.01.1972;-3
Kise Pa Hedmark;SN12550;26.01.1972;-4,3
Kise Pa Hedmark;SN12550;27.01.1972;-6
Kise Pa Hedmark;SN12550;28.01.1972;-16
Kise Pa Hedmark;SN12550;29.01.1972;-17,9
Kise Pa Hedmark;SN12550;30.01.1972;-21
Kise Pa Hedmark;SN12550;31.01.1972;-12,8
Kise Pa Hedmark;SN12550;01.02.1972;-10,9
Kise Pa Hedmark;SN12550;02.02.1972;-9,1
Kise Pa Hedmark;SN12550;03.02.1972;-9,6
Kise Pa Hedmark;SN12550;04.02.1972;-7,6
Kise Pa Hedmark;SN12550;05.02.1972;-13,5
Kise Pa Hedmark;SN12550;06.02.1972;-15,8
Kise Pa Hedmark;SN12550;07.02.1972;-11,6
Kise Pa Hedmark;SN12550;08.02.1972;-12,1
Kise Pa Hedmark;SN12550;09.02.1972;-22,8
Kise Pa Hedmark;SN12550;10.02.1972;-11,4
Kise Pa Hedmark;SN12550;11.02.1972;-5,3
Kise Pa Hedmark;SN12550;12.02.1972;-4
Kise Pa Hedmark;SN12550;13.02.1972;-2,1
Kise Pa Hedmark;SN12550;14.02.1972;-4
Kise Pa Hedmark;SN12550;15.02.1972;-6,6
Kise Pa Hedmark;SN12550;16.02.1972;-7,3
Kise Pa Hedmark;SN12550;17.02.1972;-8,4
Kise Pa Hedmark;SN12550;18.02.1972;-11,8
Kise Pa Hedmark;SN12550;19.02.1972;-20,8
Kise Pa Hedmark;SN12550;20.02.1972;-10,2
Kise Pa Hedmark;SN12550;21.02.1972;-13
Kise Pa Hedmark;SN12550;22.02.1972;-17,6
Kise Pa Hedmark;SN12550;23.02.1972;-15,6
Kise Pa Hedmark;SN12550;24.02.1972;-14,9
Kise Pa Hedmark;SN12550;25.02.1972;-14,8
Kise Pa Hedmark;SN12550;26.02.1972;-13,7
Kise Pa Hedmark;SN12550;27.02.1972;-3,3
Kise Pa Hedmark;SN12550;28.02.1972;-4,8
Kise Pa Hedmark;SN12550;29.02.1972;-10,3
Kise Pa Hedmark;SN12550;01.03.1972;-6,9
Kise Pa Hedmark;SN12550;02.03.1972;-4,8
Kise Pa Hedmark;SN12550;03.03.1972;-6,1
Kise Pa Hedmark;SN12550;04.03.1972;-4,1
Kise Pa Hedmark;SN12550;05.03.1972;-1,2
Kise Pa Hedmark;SN12550;06.03.1972;-1,6
Kise Pa Hedmark;SN12550;07.03.1972;-3,1
Kise Pa Hedmark;SN12550;08.03.1972;-2,8
Kise Pa Hedmark;SN12550;09.03.1972;-3,8
Kise Pa Hedmark;SN12550;10.03.1972;-19
Kise Pa Hedmark;SN12550;11.03.1972;-26,4
Kise Pa Hedmark;SN12550;12.03.1972;-14,7
Kise Pa Hedmark;SN12550;13.03.1972;-12
Kise Pa Hedmark;SN12550;14.03.1972;-9,2
Kise Pa Hedmark;SN12550;15.03.1972;-13,2
Kise Pa Hedmark;SN12550;16.03.1972;-14,9
Kise Pa Hedmark;SN12550;17.03.1972;-13,4
Kise Pa Hedmark;SN12550;18.03.1972;-10,5
Kise Pa Hedmark;SN12550;19.03.1972;-1,6
Kise Pa Hedmark;SN12550;20.03.1972;-9,6
Kise Pa Hedmark;SN12550;21.03.1972;-7,1
Kise Pa Hedmark;SN12550;22.03.1972;-0,3
Kise Pa Hedmark;SN12550;23.03.1972;-5
Kise Pa Hedmark;SN12550;24.03.1972;-1,7
Kise Pa Hedmark;SN12550;25.03.1972;-4,8
Kise Pa Hedmark;SN12550;26.03.1972;-2,3
Kise Pa Hedmark;SN12550;27.03.1972;0,2
Kise Pa Hedmark;SN12550;28.03.1972;-0,6
Kise Pa Hedmark;SN12550;29.03.1972;-1
Kise Pa Hedmark;SN12550;30.03.1972;-5,5
Kise Pa Hedmark;SN12550;31.03.1972;-7,1
Kise Pa Hedmark;SN12550;01.04.1972;-6,1
Kise Pa Hedmark;SN12550;02.04.1972;-8,2
Kise Pa Hedmark;SN12550;03.04.1972;0,1
Kise Pa Hedmark;SN12550;04.04.1972;-7,9
Kise Pa Hedmark;SN12550;05.04.1972;0,8
Kise Pa Hedmark;SN12550;06.04.1972;0,2
Kise Pa Hedmark;SN12550;07.04.1972;0,5
Kise Pa Hedmark;SN12550;08.04.1972;0,7
Kise Pa Hedmark;SN12550;09.04.1972;-1,1
Kise Pa Hedmark;SN12550;10.04.1972;-0,2
Kise Pa Hedmark;SN12550;11.04.1972;0,7
Kise Pa Hedmark;SN12550;12.04.1972;1,1
Kise Pa Hedmark;SN12550;13.04.1972;-0,9
Kise Pa Hedmark;SN12550;14.04.1972;-1
Kise Pa Hedmark;SN12550;15.04.1972;0
Kise Pa Hedmark;SN12550;16.04.1972;-1,7
Kise Pa Hedmark;SN12550;17.04.1972;-0,6
Kise Pa Hedmark;SN12550;18.04.1972;0,8
Kise Pa Hedmark;SN12550;19.04.1972;1,1
Kise Pa Hedmark;SN12550;20.04.1972;-3,5
Kise Pa Hedmark;SN12550;21.04.1972;0,1
Kise Pa Hedmark;SN12550;22.04.1972;1,1
Kise Pa Hedmark;SN12550;23.04.1972;-0,8
Kise Pa Hedmark;SN12550;24.04.1972;-1,7
Kise Pa Hedmark;SN12550;25.04.1972;-0,9
Kise Pa Hedmark;SN12550;26.04.1972;2,6
Kise Pa Hedmark;SN12550;27.04.1972;0,1
Kise Pa Hedmark;SN12550;28.04.1972;-3,6
Kise Pa Hedmark;SN12550;29.04.1972;-1,7
Kise Pa Hedmark;SN12550;30.04.1972;2,8
Kise Pa Hedmark;SN12550;01.05.1972;0
Kise Pa Hedmark;SN12550;02.05.1972;4
Kise Pa Hedmark;SN12550;03.05.1972;4,5
Kise Pa Hedmark;SN12550;04.05.1972;4,1
Kise Pa Hedmark;SN12550;05.05.1972;4,4
Kise Pa Hedmark;SN12550;06.05.1972;6,6
Kise Pa Hedmark;SN12550;07.05.1972;5
Kise Pa Hedmark;SN12550;08.05.1972;3,5
Kise Pa Hedmark;SN12550;09.05.1972;5,9
Kise Pa Hedmark;SN12550;10.05.1972;2,6
Kise Pa Hedmark;SN12550;11.05.1972;2,9
Kise Pa Hedmark;SN12550;12.05.1972;4,4
Kise Pa Hedmark;SN12550;13.05.1972;3,8
Kise Pa Hedmark;SN12550;14.05.1972;5
Kise Pa Hedmark;SN12550;15.05.1972;5
Kise Pa Hedmark;SN12550;16.05.1972;3,3
Kise Pa Hedmark;SN12550;17.05.1972;0,8
Kise Pa Hedmark;SN12550;18.05.1972;6,8
Kise Pa Hedmark;SN12550;19.05.1972;3
Kise Pa Hedmark;SN12550;20.05.1972;6,1
Kise Pa Hedmark;SN12550;21.05.1972;5,9
Kise Pa Hedmark;SN12550;22.05.1972;7,4
Kise Pa Hedmark;SN12550;23.05.1972;7,2
Kise Pa Hedmark;SN12550;24.05.1972;5,9
Kise Pa Hedmark;SN12550;25.05.1972;8,6
Kise Pa Hedmark;SN12550;26.05.1972;6,1
Kise Pa Hedmark;SN12550;27.05.1972;5,1
Kise Pa Hedmark;SN12550;28.05.1972;6,6
Kise Pa Hedmark;SN12550;29.05.1972;7,7
Kise Pa Hedmark;SN12550;30.05.1972;6,9
Kise Pa Hedmark;SN12550;31.05.1972;7,6
Kise Pa Hedmark;SN12550;01.06.1972;8,2
Kise Pa Hedmark;SN12550;02.06.1972;8,2
Kise Pa Hedmark;SN12550;03.06.1972;6,1
Kise Pa Hedmark;SN12550;04.06.1972;8
Kise Pa Hedmark;SN12550;05.06.1972;9
Kise Pa Hedmark;SN12550;06.06.1972;9,9
Kise Pa Hedmark;SN12550;07.06.1972;12,8
Kise Pa Hedmark;SN12550;08.06.1972;10,6
Kise Pa Hedmark;SN12550;09.06.1972;9,8
Kise Pa Hedmark;SN12550;10.06.1972;5,3
Kise Pa Hedmark;SN12550;11.06.1972;7,2
Kise Pa Hedmark;SN12550;12.06.1972;8
Kise Pa Hedmark;SN12550;13.06.1972;9,6
Kise Pa Hedmark;SN12550;14.06.1972;10
Kise Pa Hedmark;SN12550;15.06.1972;10,7
Kise Pa Hedmark;SN12550;16.06.1972;9,2
Kise Pa Hedmark;SN12550;17.06.1972;8,7
Kise Pa Hedmark;SN12550;18.06.1972;11,5
Kise Pa Hedmark;SN12550;19.06.1972;9,5
Kise Pa Hedmark;SN12550;20.06.1972;8,2
Kise Pa Hedmark;SN12550;21.06.1972;5
Kise Pa Hedmark;SN12550;22.06.1972;9
Kise Pa Hedmark;SN12550;23.06.1972;4,1
Kise Pa Hedmark;SN12550;24.06.1972;4
Kise Pa Hedmark;SN12550;25.06.1972;9
Kise Pa Hedmark;SN12550;26.06.1972;10,1
Kise Pa Hedmark;SN12550;27.06.1972;7,9
Kise Pa Hedmark;SN12550;28.06.1972;12,4
Kise Pa Hedmark;SN12550;29.06.1972;15,2
Kise Pa Hedmark;SN12550;30.06.1972;15
Kise Pa Hedmark;SN12550;01.07.1972;13
Kise Pa Hedmark;SN12550;01.01.1973;-0,6
Kise Pa Hedmark;SN12550;02.01.1973;0,9
Kise Pa Hedmark;SN12550;03.01.1973;-2
Kise Pa Hedmark;SN12550;04.01.1973;-3,3
Kise Pa Hedmark;SN12550;05.01.1973;-3,1
Kise Pa Hedmark;SN12550;06.01.1973;-1,2
Kise Pa Hedmark;SN12550;07.01.1973;-5,1
Kise Pa Hedmark;SN12550;08.01.1973;-5,5
Kise Pa Hedmark;SN12550;09.01.1973;-3,6
Kise Pa Hedmark;SN12550;10.01.1973;-0,8
Kise Pa Hedmark;SN12550;11.01.1973;-4
Kise Pa Hedmark;SN12550;12.01.1973;-8,1
Kise Pa Hedmark;SN12550;13.01.1973;-6
Kise Pa Hedmark;SN12550;14.01.1973;-3,4
Kise Pa Hedmark;SN12550;15.01.1973;-1
Kise Pa Hedmark;SN12550;16.01.1973;-0,6
Kise Pa Hedmark;SN12550;17.01.1973;-2,1
Kise Pa Hedmark;SN12550;18.01.1973;-11,1
Kise Pa Hedmark;SN12550;19.01.1973;-4,8
Kise Pa Hedmark;SN12550;20.01.1973;-5,1
Kise Pa Hedmark;SN12550;21.01.1973;-4,6
Kise Pa Hedmark;SN12550;22.01.1973;-2,6
Kise Pa Hedmark;SN12550;23.01.1973;-2,1
Kise Pa Hedmark;SN12550;24.01.1973;-2,4
Kise Pa Hedmark;SN12550;25.01.1973;3
Kise Pa Hedmark;SN12550;26.01.1973;1,9
Kise Pa Hedmark;SN12550;27.01.1973;0,2
Kise Pa Hedmark;SN12550;28.01.1973;-4,1
Kise Pa Hedmark;SN12550;29.01.1973;-4,7
Kise Pa Hedmark;SN12550;30.01.1973;-2,3
Kise Pa Hedmark;SN12550;31.01.1973;0,1
Kise Pa Hedmark;SN12550;01.02.1973;-4,1
Kise Pa Hedmark;SN12550;02.02.1973;-8,7
Kise Pa Hedmark;SN12550;03.02.1973;-3,4
Kise Pa Hedmark;SN12550;04.02.1973;-4,1
Kise Pa Hedmark;SN12550;05.02.1973;-3,3
Kise Pa Hedmark;SN12550;06.02.1973;-2,5
Kise Pa Hedmark;SN12550;07.02.1973;-0,2
Kise Pa Hedmark;SN12550;08.02.1973;-4,4
Kise Pa Hedmark;SN12550;09.02.1973;-10,1
Kise Pa Hedmark;SN12550;10.02.1973;-9,5
Kise Pa Hedmark;SN12550;11.02.1973;-11
Kise Pa Hedmark;SN12550;12.02.1973;-7,1
Kise Pa Hedmark;SN12550;13.02.1973;-2,1
Kise Pa Hedmark;SN12550;14.02.1973;-13,2
Kise Pa Hedmark;SN12550;15.02.1973;-6,1
Kise Pa Hedmark;SN12550;16.02.1973;-9,5
Kise Pa Hedmark;SN12550;17.02.1973;-2,9
Kise Pa Hedmark;SN12550;18.02.1973;-3,3
Kise Pa Hedmark;SN12550;19.02.1973;-4,9
Kise Pa Hedmark;SN12550;20.02.1973;-5,6
Kise Pa Hedmark;SN12550;21.02.1973;-3,9
Kise Pa Hedmark;SN12550;22.02.1973;-6,3
Kise Pa Hedmark;SN12550;23.02.1973;-7
Kise Pa Hedmark;SN12550;24.02.1973;-6,5
Kise Pa Hedmark;SN12550;25.02.1973;-9,5
Kise Pa Hedmark;SN12550;26.02.1973;-13
Kise Pa Hedmark;SN12550;27.02.1973;-14,1
Kise Pa Hedmark;SN12550;28.02.1973;-8,3
Kise Pa Hedmark;SN12550;01.03.1973;-7,3
Kise Pa Hedmark;SN12550;02.03.1973;-6,5
Kise Pa Hedmark;SN12550;03.03.1973;-0,8
Kise Pa Hedmark;SN12550;04.03.1973;-5
Kise Pa Hedmark;SN12550;05.03.1973;-1,4
Kise Pa Hedmark;SN12550;06.03.1973;-11
Kise Pa Hedmark;SN12550;07.03.1973;-8,6
Kise Pa Hedmark;SN12550;08.03.1973;-6,8
Kise Pa Hedmark;SN12550;09.03.1973;-4,7
Kise Pa Hedmark;SN12550;10.03.1973;-7,7
Kise Pa Hedmark;SN12550;11.03.1973;-9,4
Kise Pa Hedmark;SN12550;12.03.1973;-4,8
Kise Pa Hedmark;SN12550;13.03.1973;-3,2
Kise Pa Hedmark;SN12550;14.03.1973;-2,9
Kise Pa Hedmark;SN12550;15.03.1973;-8,2
Kise Pa Hedmark;SN12550;16.03.1973;-1,7
Kise Pa Hedmark;SN12550;17.03.1973;0,7
Kise Pa Hedmark;SN12550;18.03.1973;-2,4
Kise Pa Hedmark;SN12550;19.03.1973;-6,5
Kise Pa Hedmark;SN12550;20.03.1973;0,2
Kise Pa Hedmark;SN12550;21.03.1973;0,1
Kise Pa Hedmark;SN12550;22.03.1973;4,6
Kise Pa Hedmark;SN12550;23.03.1973;5
Kise Pa Hedmark;SN12550;24.03.1973;-0,4
Kise Pa Hedmark;SN12550;25.03.1973;-1
Kise Pa Hedmark;SN12550;26.03.1973;0,6
Kise Pa Hedmark;SN12550;27.03.1973;2,9
Kise Pa Hedmark;SN12550;28.03.1973;1,7
Kise Pa Hedmark;SN12550;29.03.1973;-0,6
Kise Pa Hedmark;SN12550;30.03.1973;2
Kise Pa Hedmark;SN12550;31.03.1973;0,6
Kise Pa Hedmark;SN12550;01.04.1973;3,3
Kise Pa Hedmark;SN12550;02.04.1973;-2,4
Kise Pa Hedmark;SN12550;03.04.1973;-2
Kise Pa Hedmark;SN12550;04.04.1973;-6,3
Kise Pa Hedmark;SN12550;05.04.1973;0,4
Kise Pa Hedmark;SN12550;06.04.1973;-3,6
Kise Pa Hedmark;SN12550;07.04.1973;-2,6
Kise Pa Hedmark;SN12550;08.04.1973;-0,5
Kise Pa Hedmark;SN12550;09.04.1973;-2,7
Kise Pa Hedmark;SN12550;10.04.1973;-4,4
Kise Pa Hedmark;SN12550;11.04.1973;-2,5
Kise Pa Hedmark;SN12550;12.04.1973;-1
Kise Pa Hedmark;SN12550;13.04.1973;-3,8
Kise Pa Hedmark;SN12550;14.04.1973;1,2
Kise Pa Hedmark;SN12550;15.04.1973;-2
Kise Pa Hedmark;SN12550;16.04.1973;-0,2
Kise Pa Hedmark;SN12550;17.04.1973;0,8
Kise Pa Hedmark;SN12550;18.04.1973;4,3
Kise Pa Hedmark;SN12550;19.04.1973;2,9
Kise Pa Hedmark;SN12550;20.04.1973;2,2
Kise Pa Hedmark;SN12550;21.04.1973;0
Kise Pa Hedmark;SN12550;22.04.1973;2,6
Kise Pa Hedmark;SN12550;23.04.1973;-0,2
Kise Pa Hedmark;SN12550;24.04.1973;3,1
Kise Pa Hedmark;SN12550;25.04.1973;-1
Kise Pa Hedmark;SN12550;26.04.1973;-1,7
Kise Pa Hedmark;SN12550;27.04.1973;-5
Kise Pa Hedmark;SN12550;28.04.1973;-6,2
Kise Pa Hedmark;SN12550;29.04.1973;0,7
Kise Pa Hedmark;SN12550;30.04.1973;-1
Kise Pa Hedmark;SN12550;01.05.1973;1
Kise Pa Hedmark;SN12550;02.05.1973;5
Kise Pa Hedmark;SN12550;03.05.1973;-0,4
Kise Pa Hedmark;SN12550;04.05.1973;-2,2
Kise Pa Hedmark;SN12550;05.05.1973;4,5
Kise Pa Hedmark;SN12550;06.05.1973;6
Kise Pa Hedmark;SN12550;07.05.1973;2,1
Kise Pa Hedmark;SN12550;08.05.1973;6,8
Kise Pa Hedmark;SN12550;09.05.1973;5,4
Kise Pa Hedmark;SN12550;10.05.1973;5,5
Kise Pa Hedmark;SN12550;11.05.1973;3,4
Kise Pa Hedmark;SN12550;12.05.1973;-0,6
Kise Pa Hedmark;SN12550;13.05.1973;6
